INFO 2024-09-29 13:48:32,526 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-29 13:48:32,860 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\http\request.py first seen with mtime 1726739707.9036007
DEBUG 2024-09-29 13:48:32,860 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1726739708.0081842
DEBUG 2024-09-29 13:48:32,860 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1726739707.641217
DEBUG 2024-09-29 13:48:32,861 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1726739707.7662277
DEBUG 2024-09-29 13:48:32,861 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\template\exceptions.py first seen with mtime 1726739707.9136026
DEBUG 2024-09-29 13:48:32,861 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1726739703.3044438
DEBUG 2024-09-29 13:48:32,862 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1726739707.7062337
DEBUG 2024-09-29 13:48:32,862 autoreload File D:\python\Lib\importlib\_abc.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,862 autoreload File D:\python\Lib\asyncio\taskgroups.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,862 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1726739707.6732244
DEBUG 2024-09-29 13:48:32,863 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1726739706.234513
DEBUG 2024-09-29 13:48:32,863 autoreload File D:\python\Lib\multiprocessing\context.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,863 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\connection.py first seen with mtime 1726739708.0061839
DEBUG 2024-09-29 13:48:32,864 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1726739705.804162
DEBUG 2024-09-29 13:48:32,864 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1726739707.7142363
DEBUG 2024-09-29 13:48:32,864 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\safestring.py first seen with mtime 1726739708.0181897
DEBUG 2024-09-29 13:48:32,864 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1726739703.3054447
DEBUG 2024-09-29 13:48:32,865 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1726739707.788138
DEBUG 2024-09-29 13:48:32,865 autoreload File D:\python\Lib\socket.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,865 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1726739708.0271084
DEBUG 2024-09-29 13:48:32,866 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\utils\dates.py first seen with mtime 1726739708.0091841
DEBUG 2024-09-29 13:48:32,866 autoreload File D:\python\DLLs\_uuid.pyd first seen with mtime 1696231628.0
DEBUG 2024-09-29 13:48:32,866 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1726739707.7741318
DEBUG 2024-09-29 13:48:32,866 autoreload File D:\python\Lib\email\mime\message.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,867 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1726739707.736169
DEBUG 2024-09-29 13:48:32,867 autoreload File D:\python\Lib\wsgiref\handlers.py first seen with mtime 1696231558.0
DEBUG 2024-09-29 13:48:32,867 autoreload File D:\ITSTEP\django\dz\env\Lib\site-packages\django\contrib\contenttypes\checks.py first seen with mtime 1726739705.2827318
